stop_id,risk_score
19074,0.0
26109,0.0
26174,0.0
33290,0.026
33788,0.0
34504,0.0
34506,0.0
34507,0.0
35248,0.0
35254,0.0
10009,0.0
10022,0.0
10188,0.006
10437,0.0
10517,0.0
10600,0.002
10661,0.0
10705,0.004
10833,0.0
10854,0.006
10896,0.0
10897,0.008
11154,0.0
11185,0.0
11267,0.033
11287,0.0
11342,0.0
11344,0.005
11810,0.0
11862,0.011
12013,0.045
12497,0.0
12601,0.0
12790,0.006
13034,0.0
13116,0.07
13311,0.0
13588,0.013
13644,0.006
13653,0.004
13696,0.0
13799,0.0
14105,0.0
14247,0.0
14267,0.002
14406,0.0
14751,0.017
14886,0.0
15193,0.0
15226,0.004
15411,0.008
15831,0.0
15863,0.0
16372,0.0
16400,0.0
16460,0.0
16765,0.025
16828,0.0
17025,0.0
17047,0.0
17173,0.011
17176,0.013
17191,0.0
17214,0.0
17310,0.003
17331,0.002
17958,0.0
17965,0.0
18222,0.002
18312,0.0
18519,0.0
18728,0.0
18837,0.0
18951,0.0
19334,0.0
19504,0.011
19564,0.0
19868,0.008
20376,0.005
20442,0.0
20810,0.0
20958,0.0
21080,0.02
21180,0.0
21228,0.0
21650,0.0
22307,0.0
22466,0.004
22520,0.0
22599,0.0
23005,0.0
23037,0.0
23234,0.0
23333,0.0
23414,0.0
23722,0.0
23826,0.0
24065,0.0
24831,0.004
25021,0.0
25185,0.0
25233,0.004
25315,0.0
25509,0.003
25609,0.0
25668,0.0
25934,0.0
26221,0.0
33044,0.0
33216,0.0
33256,0.0
33592,0.0
33641,0.0
33805,0.0
34811,0.0
34859,0.009
35197,0.031
19960,0.0
25436,0.0
26285,0.0
23709,0.03
34343,0.349
33231,0.0
25982,0.016
18681,0.0
16178,0.0
33651,0.0
33955,0.0
10643,0.0
10811,0.0
10914,0.004
11011,0.019
11172,0.0
11181,0.0
11326,0.003
11351,0.004
11371,0.001
11426,0.0
11513,0.0
11971,0.005
12065,0.0
12182,0.007
12521,0.02
12899,0.019
12921,0.13
13012,0.0
13122,0.002
13127,0.043
13395,0.005
13574,0.025
13710,0.013
13763,0.0
13791,0.0
13820,0.003
13877,0.0
13941,0.009
14452,0.0
14838,0.0
14851,0.0
15090,0.0
15183,0.0
15437,0.0
15558,0.012
15772,0.013
15948,0.0
16191,0.029
16302,0.0
16794,0.002
16821,0.001
16841,0.0
16922,0.0
16999,0.0
17115,0.0
17486,0.0
17704,0.177
18742,0.002
18872,0.0
19055,0.002
19298,0.0
19560,0.0
19691,0.0
19694,0.0
19828,0.0
20052,0.0
20227,0.0
20555,0.015
20759,0.0
21183,0.0
21224,0.0
21375,0.041
21419,0.01
21591,0.0
21920,0.0
22035,0.0
22254,0.0
22604,0.0
22832,0.0
23015,0.0
23074,0.04
23135,0.0
23187,0.0
23429,0.006
23593,0.0
23675,0.0
23718,0.0
24431,0.0
24527,0.0
24529,0.0
24727,0.0
24970,0.0
25067,0.0
25203,0.107
25663,0.0
25676,0.0
25741,0.0
25804,0.0
25824,0.0
26206,0.0
26386,0.0
26637,0.0
33105,0.0
34921,0.001
35282,0.0
35511,0.07
16235,0.0
34137,0.0
26294,0.0
10695,0.0
26332,0.0
10084,0.008
10204,0.389
10369,0.0
10499,0.0
10838,0.0
10842,0.0
10968,0.004
11001,0.011
11131,0.0
11156,0.004
11276,0.01
11408,0.0
11856,0.002
11903,0.017
12069,0.0
12081,0.0
12232,0.0
12323,0.007
12324,0.009
12529,0.0
12564,0.023
12651,0.155
12853,0.0
12855,0.0
12892,0.0
12903,0.0
12935,0.015
13057,0.003
13136,0.065
13307,0.004
13350,0.008
13403,0.002
13428,0.003
13798,0.0
14046,0.0
14170,0.013
14471,0.0
14717,0.029
14767,0.0
14854,0.0
14928,0.0
15059,0.014
15099,0.002
15245,0.003
15323,0.022
15405,0.008
15455,0.003
15609,0.021
16130,0.022
16143,0.006
16856,0.004
17055,0.0
17079,0.0
17174,0.003
17347,0.004
17599,0.0
17701,0.132
17759,0.036
17783,0.088
18624,0.0
19106,0.0
19159,0.0
19310,0.0
19818,0.0
19829,0.0
20038,0.0
20082,0.0
20313,0.0
20315,0.0
20580,0.011
20879,0.0
21066,0.067
21457,0.0
21543,0.0
21828,0.0
22045,0.0
22255,0.0
22631,0.0
22753,0.0
22826,0.0
22937,0.0
23162,0.0
23210,0.013
23233,0.0
23250,0.037
23261,0.0
23318,0.0
23428,0.0
23624,0.0
23719,0.0
23987,0.0
24068,0.0
24442,0.0
24521,0.0
24578,0.0
24702,0.005
24726,0.0
24817,0.0
24880,0.0
25026,0.0
25167,0.0
25610,0.0
26058,0.0
26064,0.013
26450,0.0
33345,0.0
33628,0.0
34400,0.003
34690,0.011
34967,0.0
35108,0.0
35279,0.0
26303,0.0
24896,0.0
33733,0.0
25116,0.0
34469,0.006
34549,0.0
14519,0.0
10067,0.016
10154,0.0
10450,0.0
10815,0.0
11115,0.0
11237,0.002
11302,0.006
11337,0.003
11698,0.0
12276,0.0
12514,0.0
12704,0.0
13076,0.004
13144,0.011
